"","AV","OPC","Proportion"
"466",0.290217749911789,15.1,0.1715
"468",0.40778333000609,13.95,0.0915
"469",0.137033143842647,4.55,0.0515
"471",0.745913570759235,12.15,0.244
"472",0.0498837458124215,1,0.2735
"473",0.422722983768318,35.8,0.0335
"474",0.21190105120791,4.8,0.092
"476",0.157921422803627,7.8,0.0285
"478",0.13657269371706,6.4,0.113
"482",0.193784186901092,6.4,0.0366785532348446
"484",0.900752720908826,20.75,0.0824797843665768
"485",0.143593992934318,6.8,0.119775739041794
"486",0.0118918513323047,0,0.1295
"487",0.257123695505041,15.65,0.057
"491",0.0224398451358486,0,0.0215
"493",0.204849378926454,10.35,0.019271948608137
"494",0.644048749262813,22.05,0.1285
"496",0.0824708995686695,4.5,0.1745
"498",0.172226632171852,7.05,0.009
"501",0.12992999506321,7.1,0.047
"502",0.202911610779694,19.15,0.076
"503",0.208706840037098,9.55,0.0135
"504",0.753273939617528,10.4,0.205
"508",0.248571528922425,14.05,0.0475
"510",0.195672897390072,17.15,0.033
"511",0.126239903166531,12.85,0.011
"512",0.335485329701261,11.05,0.0645
"513",0.556157821688551,18.8,0.403
"515",0.465621096964799,23,0.087
"516",0.639449818698459,16.85,0.3525
"517",0.162933332191166,11.15,0.107296137339056
"521",0.810916653682705,28.3,0.2
"522",0.247208387142519,13,0.025
"523",0.698494153075121,23.55,0.174
"525",0.248147797257154,12.75,0.036445332001997
"526",0.140057396766381,6.65,0.072
"527",0.12264481148278,5.85,0.0995
"528",0.0680291186531341,3.9,0.1705
"529",0.00597760424814274,0.1,0.032
"533",0.117886802533819,6.35,0.029
"535",0.222404262334581,9.15,0.2225
"536",0.102482508119637,5.8,0.0045
"540",0.0471339021862593,4.75,0.0169293636894337
"542",0.0426578727212782,1,0.2465
"543",0.858261002958354,15.2,0.3745
"544",0.810956011682106,12.25,0.195
"546",0.990891778459032,25.7,0.165559246954596
"547",0.164817690423774,6.75,0.0261832829808661
"548",0.973539963260756,21.4,0.211
"549",0.00096001393703921,0,0.012
"551",0.187574616707844,6.75,0.0674955595026643
"552",0.293986464837977,24.9,0.0604838709677419
"554",0.122897648374737,6,0.073
"557",0.260216436892921,8.3,0.3545
"562",0.0280400558896509,0,0.0225
"563",0.14480813122343,7.1,0.011
"564",0.187138059247654,10.9,0.162775183455637
"567",0.0985181299655294,4.7,0.0808597748208802
"568",0.0255759350301811,0.35,0.014
"569",0.362542987472804,8.5,0.1275
"570",0.0991468066562835,4.95,0.0716238381629306
"571",0.823876015277633,15.55,0.1905
"573",0.0749062834537075,1.5,0.0125
"577",0.072599678332728,4.35,0.036
"579",0.367201211816055,7.6,0.1225
"583",0.218188639325134,9.4,0.183
"584",0.000236449097680618,0,0.0102249488752556
"585",0.53802018332941,8.2,0.321
"589",0.469965131836133,11.75,0.168
"591",0.126803003871053,9.3,0.0165
"593",0.710913558938614,14.7,0.227124183006536
"594",0.230058060120056,12,0.004
"595",0.00134954267494114,0,0
"596",0.2103863235955,14.65,0.0405
"597",0.504050777745492,22.55,0.0635
"598",0.450086522820797,9.45,0.3015
"599",0.911871984127094,21.35,0.2115
"600",0.3404369913589,13.65,0.2615
